5810.572,673.681,67.415,0.177,325,"332,332,332,335,335,335,335,336,337,338,339,340,341,341,343,344,347,347,347,348,350,350,357,358,359,361,361,367,367,367,368,370,372,372,373,373,374,374,374,374,375,375,375,376,376,376,376,376,376,376,376,376,376,377,377,377,377,377,377,377,377,377,377,377,378,378,378,378,378,378,379,379,380,380,380,380,380,381,381,381,381,383,383,383,383,383,383,383,383,383,383,383,383,383,383,384,384,384,384,384,384,385,385,385,385,386,386,386,386,386,386,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,388,388,388,388,388,388,388,388,388,389,389,389,390,390,390,390,390,391,391,391,391,391,391,392,392,392,392,392,392,393,393,394,394,394,394,394,394,395,395,396,396,396,396,396,396,397,397,397,397,397,397,398,398,398,398,399,399,399,400,400,400,400,401,401,401,402,402,402,402,403,403,403,404,406,406,406,406,406,406,407,407,408,408,409,409,410,411,412,412,413,413,413,413,413,414,414,414,414,415,415,415,415,415,415,415,415,415,415,415,416,417,418,420,420,420,420,420,420,420,421,421,421,421,421,422,425,429,429,432,432,432,433,435,436,437,437,437,437,437,439,440,440,440,440,440,441,441,441,442,442,442,442,442,442,442,442,442,442,442,443,443,447,450,450,451,451,453,454,455,455,455,455,456,456,456,457,457,458,458,459,461,462,462,462,462,463"
977.761,4831.586,254.297,0.087,159,"332,334,334,335,335,336,337,338,338,339,339,340,341,343,344,347,347,347,348,350,350,351,351,353,354,355,356,357,358,360,361,362,363,364,365,365,366,367,368,369,370,371,372,372,372,372,372,373,373,374,374,375,375,375,376,377,378,379,380,381,382,383,383,384,384,385,386,386,387,387,387,388,388,388,389,390,390,391,391,392,393,394,395,396,397,397,397,398,398,399,400,401,402,403,404,405,406,406,407,408,409,410,410,411,412,413,414,415,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,432,433,434,435,436,437,437,439,440,441,442,442,442,443,447,448,448,448,449,450,450,451,452,453,454,455,455,456,457,458,460,461,462,463,463"
6724.333,8.695,2.540,0.437,6,"335,391,406,409,412,417"
4920.333,13.662,5.005,0.468,6,"336,381,414,425,433,434"
7429.143,6.152,1.380,0.398,7,"380,381,391,396,397,403,441"
1871.429,7.590,2.142,0.450,7,"335,375,375,385,392,435,442"
875.467,5957.254,209.556,0.073,165,"332,334,335,335,336,337,337,338,339,339,340,340,341,343,343,343,344,347,347,347,348,350,351,351,351,353,354,355,356,357,357,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,372,373,373,374,374,375,376,377,378,379,380,381,381,382,383,383,384,384,385,386,386,387,388,389,390,391,392,392,393,394,395,396,396,396,396,397,397,398,399,400,401,401,402,402,402,402,403,403,404,405,406,407,408,408,409,410,410,411,412,413,414,415,416,416,417,418,419,419,420,421,422,422,423,424,425,426,427,427,428,429,430,432,433,433,433,434,434,435,436,437,438,438,439,440,441,442,443,446,447,448,448,449,450,450,451,452,453,454,455,456,456,457,458,459,460,461,462,463"
692.909,17.202,2.962,0.309,11,"339,369,377,405,411,442,443,457,458,462,463"
858.800,18.408,2.256,0.313,10,"335,348,356,358,360,370,371,393,403,428"
9256.000,9.904,2.751,0.420,7,"334,338,404,405,429,449,463"
1257.333,96.787,18.775,0.325,12,"339,344,372,374,376,377,406,407,409,412,414,420"
962.923,61.896,23.168,0.901,13,"382,382,382,382,382,382,382,382,382,382,382,382,404"
694.400,13.077,7.028,0.573,5,"337,341,348,378,441"
167.250,3.522,2.766,0.826,8,"334,404,404,404,404,404,404,404"
885.066,5238.798,242.071,0.086,152,"332,332,334,334,335,336,336,337,338,339,339,340,340,341,343,343,344,347,347,348,348,350,351,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,386,387,388,389,390,391,392,393,394,395,396,396,396,397,397,398,399,399,399,400,401,402,403,403,404,405,406,407,408,408,408,409,410,411,411,412,412,413,414,415,416,417,418,419,420,421,422,422,423,423,423,424,425,426,426,427,428,429,430,432,433,434,435,435,436,436,437,439,440,441,442,443,446,447,449,450,450,450,451,452,453,454,455,456,456,457,458,459,459,459,459,460,461,462,462,463"
1099.091,216.270,24.463,0.231,22,"337,339,344,374,376,378,379,381,385,387,388,389,390,392,401,433,441,449,452,453,454,458"
7868.800,9.213,3.537,0.504,5,"344,376,380,405,460"
7214.000,8.769,2.762,0.453,6,"343,344,382,390,401,417"
